Transmission Coefficient, Energy (eV)
         2.10245e-10,                0.005
         4.94021e-10,                 0.01
           8.717e-10,                0.015
         1.36896e-09,                 0.02
         2.01815e-09,                0.025
         2.86003e-09,                 0.03
         3.94594e-09,                0.035
         5.34057e-09,                 0.04
         7.12549e-09,                0.045
         9.40356e-09,                 0.05
         1.23046e-08,                0.055
         1.59928e-08,                 0.06
         2.06754e-08,                0.065
         2.66151e-08,                 0.07
         3.41449e-08,                0.075
         4.36873e-08,                 0.08
         5.57795e-08,                0.085
         7.11056e-08,                 0.09
         9.05383e-08,                0.095
         1.15193e-07,                  0.1
         1.46498e-07,                0.105
         1.86286e-07,                 0.11
         2.36916e-07,                0.115
         3.01429e-07,                 0.12
         3.83757e-07,                0.125
            4.89e-07,                 0.13
         6.23786e-07,                0.135
         7.96763e-07,                 0.14
         1.01925e-06,                0.145
         1.30611e-06,                 0.15
         1.67692e-06,                0.155
         2.15762e-06,                 0.16
         2.78264e-06,                0.165
         3.59795e-06,                 0.17
         4.66519e-06,                0.175
         6.06739e-06,                 0.18
         7.91707e-06,                0.185
         1.03675e-05,                 0.19
         1.36287e-05,                0.195
         1.79904e-05,                  0.2
         2.38551e-05,                0.205
          3.1786e-05,                 0.21
         4.25778e-05,                0.215
          5.7361e-05,                 0.22
         7.77603e-05,                0.225
         0.000106133,                 0.23
         0.000145942,                0.235
         0.000202331,                 0.24
         0.000283053,                0.245
         0.000399972,                 0.25
         0.000571547,                0.255
         0.000827069,                 0.26
          0.00121403,                0.265
          0.00181136,                 0.27
          0.00275408,                0.275
          0.00428102,                 0.28
          0.00683147,                0.285
            0.011252,                 0.29
           0.0192668,                0.295
            0.034625,                  0.3
           0.0661016,                0.305
            0.135678,                 0.31
            0.297956,                0.315
            0.636445,                 0.32
            0.976651,                0.325
            0.919226,                 0.33
            0.721172,                0.335
            0.584667,                 0.34
            0.511041,                0.345
            0.478531,                 0.35
            0.473713,                0.355
            0.489823,                 0.36
            0.523634,                0.365
            0.573431,                 0.37
             0.63751,                0.375
            0.712822,                 0.38
            0.793805,                0.385
               0.872,                 0.39
            0.937326,                0.395
            0.981107,                  0.4
