Transmission Coefficient, Energy (eV)
         8.37026e-07,                0.005
         1.83282e-06,                 0.01
         3.01188e-06,                0.015
         4.40235e-06,                 0.02
         6.03658e-06,                0.025
         7.95177e-06,                 0.03
         1.01907e-05,                0.035
         1.28026e-05,                 0.04
         1.58442e-05,                0.045
         1.93807e-05,                 0.05
         2.34876e-05,                0.055
         2.82515e-05,                 0.06
         3.37729e-05,                0.065
         4.01676e-05,                 0.07
         4.75697e-05,                0.075
         5.61343e-05,                 0.08
         6.60411e-05,                0.085
         7.74986e-05,                 0.09
          9.0749e-05,                0.095
         0.000106074,                  0.1
           0.0001238,                0.105
          0.00014431,                 0.11
          0.00016805,                0.115
         0.000195539,                 0.12
         0.000227387,                0.125
         0.000264309,                 0.13
         0.000307142,                0.135
         0.000356874,                 0.14
         0.000414666,                0.145
          0.00048189,                 0.15
         0.000560169,                0.155
         0.000651424,                 0.16
         0.000757941,                0.165
         0.000882439,                 0.17
          0.00102816,                0.175
          0.00119899,                 0.18
          0.00139958,                0.185
          0.00163553,                 0.19
           0.0019136,                0.195
          0.00224195,                  0.2
           0.0026305,                0.205
          0.00309133,                 0.21
          0.00363919,                0.215
          0.00429218,                 0.22
          0.00507258,                0.225
          0.00600791,                 0.23
          0.00713235,                0.235
          0.00848849,                 0.24
           0.0101297,                0.245
           0.0121229,                 0.25
           0.0145531,                0.255
           0.0175278,                 0.26
           0.0211843,                0.265
           0.0256988,                 0.27
           0.0312977,                0.275
           0.0382741,                 0.28
           0.0470076,                0.285
           0.0579911,                 0.29
           0.0718646,                0.295
           0.0894556,                  0.3
            0.111826,                0.305
            0.140313,                 0.31
            0.176559,                0.315
            0.222471,                 0.32
            0.280072,                0.325
            0.351115,                 0.33
            0.436375,                0.335
            0.534585,                 0.34
            0.641308,                0.345
            0.748476,                 0.35
            0.845546,                0.355
            0.922477,                 0.36
            0.973127,                0.365
            0.996952,                 0.37
            0.998098,                0.375
            0.983002,                 0.38
             0.95813,                0.385
             0.92872,                 0.39
            0.898458,                0.395
            0.869664,                  0.4
