Transmission Coefficient, Energy (eV)
         2.72192e-13,                0.005
         3.54152e-13,              0.00625
         4.42387e-13,               0.0075
         5.37285e-13,              0.00875
         6.39262e-13,                 0.01
         7.48754e-13,              0.01125
         8.66225e-13,               0.0125
         9.92163e-13,              0.01375
         1.12709e-12,                0.015
         1.42612e-12,               0.0175
         1.76809e-12,                 0.02
         2.15834e-12,               0.0225
         2.60285e-12,                0.025
         3.10831e-12,               0.0275
         3.68217e-12,                 0.03
          4.3328e-12,               0.0325
         5.06953e-12,                0.035
         5.90281e-12,               0.0375
         6.84432e-12,                 0.04
          7.9071e-12,               0.0425
         9.10575e-12,                0.045
         1.04566e-11,               0.0475
         1.19778e-11,                 0.05
         1.36899e-11,               0.0525
         1.56155e-11,                0.055
         1.77802e-11,               0.0575
         2.02125e-11,                 0.06
         2.29443e-11,               0.0625
         2.60112e-11,                0.065
         2.94531e-11,               0.0675
         3.33145e-11,                 0.07
         3.76455e-11,               0.0725
         4.25019e-11,                0.075
         4.79462e-11,               0.0775
         5.40484e-11,                 0.08
         6.08868e-11,               0.0825
         6.85492e-11,                0.085
          7.7134e-11,               0.0875
         8.67511e-11,                 0.09
          9.7524e-11,               0.0925
         1.09591e-10,                0.095
         1.23107e-10,               0.0975
         1.38247e-10,                  0.1
         1.55204e-10,               0.1025
         1.74198e-10,                0.105
         1.95475e-10,               0.1075
          2.1931e-10,                 0.11
         2.46013e-10,               0.1125
         2.75931e-10,                0.115
         3.09456e-10,               0.1175
         3.47027e-10,                 0.12
         3.89138e-10,               0.1225
         4.36344e-10,                0.125
         4.89271e-10,               0.1275
         5.48622e-10,                 0.13
         6.15191e-10,               0.1325
         6.89869e-10,                0.135
         7.73664e-10,               0.1375
         8.67709e-10,                 0.14
         9.73285e-10,               0.1425
         1.09183e-09,                0.145
         1.22499e-09,               0.1475
         1.37458e-09,                 0.15
          1.5427e-09,               0.1525
          1.7317e-09,                0.155
         1.94423e-09,               0.1575
          2.1833e-09,                 0.16
         2.45233e-09,               0.1625
         2.75515e-09,                0.165
         3.09616e-09,               0.1675
         3.48031e-09,                 0.17
         3.91321e-09,               0.1725
         4.40127e-09,                0.175
         4.95171e-09,               0.1775
          5.5728e-09,                 0.18
          6.2739e-09,               0.1825
         7.06567e-09,                0.185
         7.96025e-09,               0.1875
         8.97148e-09,                 0.19
         1.01151e-08,               0.1925
         1.14092e-08,                0.195
         1.28741e-08,               0.1975
         1.45335e-08,                  0.2
         1.64141e-08,               0.2025
         1.85465e-08,                0.205
          2.0966e-08,               0.2075
         2.37127e-08,                 0.21
         2.68328e-08,               0.2125
         3.03792e-08,                0.215
         3.44128e-08,               0.2175
         3.90034e-08,                 0.22
         4.42315e-08,               0.2225
         5.01896e-08,                0.225
         5.69844e-08,               0.2275
         6.47392e-08,                 0.23
         7.35958e-08,               0.2325
         8.37187e-08,                0.235
         9.52979e-08,               0.2375
         1.08553e-07,                 0.24
          1.2374e-07,               0.2425
         1.41154e-07,                0.245
          1.6114e-07,               0.2475
         1.84096e-07,                 0.25
          2.1049e-07,               0.2525
         2.40864e-07,                0.255
         2.75851e-07,               0.2575
         3.16191e-07,                 0.26
         3.62753e-07,               0.2625
          4.1655e-07,                0.265
         4.78773e-07,               0.2675
         5.50822e-07,                 0.27
         6.34344e-07,               0.2725
         7.31277e-07,                0.275
         8.43911e-07,               0.2775
         9.74952e-07,                 0.28
          1.1276e-06,               0.2825
         1.30566e-06,                0.285
         1.51364e-06,               0.2875
         1.75691e-06,                 0.29
         2.04186e-06,               0.2925
         2.37615e-06,                0.295
         2.76893e-06,               0.2975
         3.23116e-06,                  0.3
         3.77604e-06,               0.3025
         4.41945e-06,                0.305
         5.18056e-06,               0.3075
         6.08257e-06,                 0.31
         7.15364e-06,               0.3125
         8.42799e-06,                0.315
         9.94736e-06,               0.3175
         1.17628e-05,                 0.32
         1.39369e-05,               0.3225
         1.65466e-05,                0.325
         1.96871e-05,               0.3275
         2.34759e-05,                 0.33
         2.80593e-05,               0.3325
         3.36197e-05,                0.335
         4.03852e-05,               0.3375
         4.86431e-05,                 0.34
         5.34414e-05,              0.34125
         5.87556e-05,               0.3425
         6.46465e-05,              0.34375
         7.11824e-05,                0.345
         7.84409e-05,              0.34625
         8.65094e-05,               0.3475
         9.54873e-05,              0.34875
         0.000105487,                 0.35
         0.000116637,              0.35125
         0.000129083,               0.3525
          0.00014299,              0.35375
         0.000158548,                0.355
         0.000175975,              0.35625
         0.000195518,               0.3575
         0.000217463,              0.35875
         0.000242136,                 0.36
         0.000269916,              0.36125
         0.000301237,               0.3625
         0.000336603,              0.36375
         0.000376598,                0.365
         0.000421899,              0.36625
         0.000473295,               0.3675
         0.000531706,              0.36875
         0.000598209,                 0.37
         0.000674068,              0.37125
         0.000760768,               0.3725
         0.000860062,              0.37375
         0.000974022,                0.375
          0.00110511,              0.37625
          0.00125626,               0.3775
          0.00143097,              0.37875
          0.00163344,                 0.38
          0.00186874,              0.38125
          0.00214298,               0.3825
          0.00246359,              0.38375
          0.00283965,                0.385
          0.00328227,              0.38625
          0.00380516,               0.3875
          0.00442532,              0.38875
          0.00516393,                 0.39
          0.00604758,              0.39125
          0.00710984,               0.3925
          0.00839347,              0.39375
          0.00995327,                0.395
           0.0118601,              0.39625
           0.0129715,             0.396875
           0.0142064,               0.3975
           0.0155809,             0.398125
           0.0171139,              0.39875
           0.0188267,             0.399375
           0.0207444,                  0.4
