Transmission Coefficient, Energy (eV)
         1.35157e-05,                0.005
         2.89025e-05,                 0.01
         4.63745e-05,                0.015
           6.617e-05,                 0.02
         8.85539e-05,                0.025
         0.000113821,                 0.03
         0.000142301,                0.035
         0.000174358,                 0.04
         0.000210401,                0.045
         0.000250884,                 0.05
         0.000296315,                0.055
          0.00034726,                 0.06
         0.000404352,                0.065
         0.000468297,                 0.07
         0.000539886,                0.075
         0.000620003,                 0.08
         0.000709639,                0.085
         0.000809904,                 0.09
         0.000922041,                0.095
          0.00104745,                  0.1
          0.00118769,                0.105
          0.00134454,                 0.11
          0.00151998,                0.115
          0.00171623,                 0.12
          0.00193582,                0.125
           0.0021816,                 0.13
          0.00245676,                0.135
          0.00276493,                 0.14
          0.00311023,                0.145
          0.00349729,                 0.15
          0.00393139,                0.155
          0.00441852,                 0.16
          0.00496549,                0.165
          0.00558003,                 0.17
          0.00627097,                0.175
          0.00704837,                 0.18
          0.00792372,                0.185
          0.00891017,                 0.19
           0.0100228,                0.195
           0.0112787,                  0.2
           0.0126979,                0.205
            0.014303,                 0.21
           0.0161202,                0.215
           0.0181796,                 0.22
            0.020516,                0.225
           0.0231695,                 0.23
           0.0261862,                0.235
           0.0296198,                 0.24
            0.033532,                0.245
           0.0379943,                 0.25
           0.0430893,                0.255
           0.0489125,                 0.26
           0.0555741,                0.265
           0.0632008,                 0.27
           0.0719384,                0.275
           0.0819538,                 0.28
           0.0934369,                0.285
            0.106603,                 0.29
            0.121692,                0.295
            0.138971,                  0.3
            0.158731,                0.305
             0.18128,                 0.31
            0.206938,                0.315
             0.23602,                 0.32
            0.268815,                0.325
            0.305558,                 0.33
            0.346389,                0.335
            0.391311,                 0.34
            0.440136,                0.345
            0.492439,                 0.35
            0.547518,                0.355
            0.604383,                 0.36
            0.661778,                0.365
            0.718251,                 0.37
            0.772258,                0.375
            0.822308,                 0.38
            0.867103,                0.385
             0.90567,                 0.39
            0.937427,                0.395
            0.962214,                  0.4
