------------------------------------------------------------
 Transmission Coefficient on refined energy grid using transfer matrices
------------------------------------------------------------
Transmission Coefficient, Energy (eV)
          0.00752707,                0.005
           0.0150896,                 0.01
           0.0226861,                0.015
           0.0303148,                 0.02
           0.0379741,                0.025
           0.0456624,                 0.03
           0.0533781,                0.035
           0.0611194,                 0.04
           0.0688847,                0.045
           0.0766724,                 0.05
           0.0844806,                0.055
           0.0923078,                 0.06
            0.100152,                0.065
            0.108012,                 0.07
            0.115886,                0.075
            0.123772,                 0.08
            0.131669,                0.085
            0.139574,                 0.09
            0.147486,                0.095
            0.155404,                  0.1
            0.163326,                0.105
            0.171249,                 0.11
            0.179173,                0.115
            0.187096,                 0.12
            0.195016,                0.125
            0.202931,                 0.13
            0.210841,                0.135
            0.218742,                 0.14
            0.226634,                0.145
            0.234516,                 0.15
            0.242385,                0.155
             0.25024,                 0.16
             0.25808,                0.165
            0.265903,                 0.17
            0.273707,                0.175
            0.281492,                 0.18
            0.289256,                0.185
            0.296996,                 0.19
            0.304713,                0.195
            0.312405,                  0.2
             0.32007,                0.205
            0.327706,                 0.21
            0.335314,                0.215
            0.342891,                 0.22
            0.350436,                0.225
            0.357949,                 0.23
            0.365427,                0.235
             0.37287,                 0.24
            0.380277,                0.245
            0.387647,                 0.25
            0.394978,                0.255
            0.402269,                 0.26
            0.409521,                0.265
            0.416731,                 0.27
            0.423898,                0.275
            0.431023,                 0.28
            0.438103,                0.285
            0.445139,                 0.29
            0.452128,                0.295
            0.459072,                  0.3
            0.465968,                0.305
            0.472816,                 0.31
            0.479616,                0.315
            0.486366,                 0.32
            0.493066,                0.325
            0.499717,                 0.33
            0.506316,                0.335
            0.512863,                 0.34
            0.519358,                0.345
            0.525801,                 0.35
            0.532191,                0.355
            0.538527,                 0.36
             0.54481,                0.365
            0.551038,                 0.37
            0.557212,                0.375
            0.563331,                 0.38
            0.569395,                0.385
            0.575404,                 0.39
            0.581357,                0.395
            0.587254,                  0.4
            0.593095,                0.405
             0.59888,                 0.41
            0.604609,                0.415
            0.610281,                 0.42
            0.615897,                0.425
            0.621456,                 0.43
            0.626958,                0.435
            0.632404,                 0.44
            0.637792,                0.445
            0.643125,                 0.45
              0.6484,                0.455
            0.653619,                 0.46
            0.658782,                0.465
            0.663887,                 0.47
            0.668937,                0.475
             0.67393,                 0.48
            0.678867,                0.485
            0.683748,                 0.49
            0.688574,                0.495
            0.693343,                  0.5

