------------------------------------------------------------
 Transmission Coefficient on refined energy grid using transfer matrices
------------------------------------------------------------
Transmission Coefficient, Energy (eV)
          5.6063e-15,               0.0001
          1.1292e-14,               0.0002
          1.7058e-14,               0.0003
         2.29052e-14,               0.0004
         2.88345e-14,               0.0005
         3.48469e-14,               0.0006
         4.09433e-14,               0.0007
         4.71246e-14,               0.0008
         5.33918e-14,               0.0009
         5.97459e-14,                0.001
         6.61879e-14,               0.0011
         7.27186e-14,               0.0012
         7.93392e-14,               0.0013
         8.60507e-14,               0.0014
          9.2854e-14,               0.0015
         9.97502e-14,               0.0016
          1.0674e-13,               0.0017
         1.13825e-13,               0.0018
         1.21007e-13,               0.0019
         1.28285e-13,                0.002
         1.35662e-13,               0.0021
         1.43138e-13,               0.0022
         1.50714e-13,               0.0023
         1.58392e-13,               0.0024
         1.66172e-13,               0.0025
         1.74057e-13,               0.0026
         1.82046e-13,               0.0027
         1.90142e-13,               0.0028
         1.98345e-13,               0.0029
         2.06657e-13,                0.003
         2.15078e-13,               0.0031
         2.23611e-13,               0.0032
         2.32255e-13,               0.0033
         2.41013e-13,               0.0034
         2.49886e-13,               0.0035
         2.58875e-13,               0.0036
         2.67982e-13,               0.0037
         2.77207e-13,               0.0038
         2.86552e-13,               0.0039
         2.96018e-13,                0.004
         3.05607e-13,               0.0041
          3.1532e-13,               0.0042
         3.25158e-13,               0.0043
         3.35123e-13,               0.0044
         3.45216e-13,               0.0045
         3.55439e-13,               0.0046
         3.65793e-13,               0.0047
          3.7628e-13,               0.0048
           3.869e-13,               0.0049
         3.97656e-13,                0.005
         4.08549e-13,               0.0051
          4.1958e-13,               0.0052
         4.30752e-13,               0.0053
         4.42065e-13,               0.0054
         4.53521e-13,               0.0055
         4.65122e-13,               0.0056
         4.76869e-13,               0.0057
         4.88764e-13,               0.0058
         5.00809e-13,               0.0059
         5.13005e-13,                0.006
         5.25354e-13,               0.0061
         5.37858e-13,               0.0062
         5.50517e-13,               0.0063
         5.63335e-13,               0.0064
         5.76313e-13,               0.0065
         5.89452e-13,               0.0066
         6.02755e-13,               0.0067
         6.16223e-13,               0.0068
         6.29858e-13,               0.0069
         6.43661e-13,                0.007
         6.57636e-13,               0.0071
         6.71782e-13,               0.0072
         6.86104e-13,               0.0073
         7.00602e-13,               0.0074
         7.15278e-13,               0.0075
         7.30134e-13,               0.0076
         7.45173e-13,               0.0077
         7.60396e-13,               0.0078
         7.75805e-13,               0.0079
         7.91403e-13,                0.008
         8.07191e-13,               0.0081
         8.23172e-13,               0.0082
         8.39347e-13,               0.0083
          8.5572e-13,               0.0084
         8.72291e-13,               0.0085
         8.89064e-13,               0.0086
          9.0604e-13,               0.0087
         9.23221e-13,               0.0088
         9.40611e-13,               0.0089
         9.58211e-13,                0.009
         9.76023e-13,               0.0091
          9.9405e-13,               0.0092
