------------------------------------------------------------
 Transmission Coefficient on homogeneous energy grid using transfer matrices
------------------------------------------------------------
Transmission Coefficient, Energy (eV)
         9.14755e-19,               0.0001
         1.84665e-18,               0.0002
         2.79592e-18,               0.0003
         3.76285e-18,               0.0004
         4.74769e-18,               0.0005
          5.7507e-18,               0.0006
         6.77215e-18,               0.0007
         7.81232e-18,               0.0008
         8.87148e-18,               0.0009
         9.94991e-18,                0.001
         1.10479e-17,               0.0011
         1.21657e-17,               0.0012
         1.33037e-17,               0.0013
         1.44621e-17,               0.0014
         1.56412e-17,               0.0015
         1.68414e-17,               0.0016
         1.80629e-17,               0.0017
          1.9306e-17,               0.0018
         2.05712e-17,               0.0019
         2.18586e-17,                0.002
         2.31687e-17,               0.0021
         2.45017e-17,               0.0022
          2.5858e-17,               0.0023
          2.7238e-17,               0.0024
         2.86419e-17,               0.0025
         3.00701e-17,               0.0026
          3.1523e-17,               0.0027
          3.3001e-17,               0.0028
         3.45044e-17,               0.0029
         3.60335e-17,                0.003
         3.75888e-17,               0.0031
         3.91706e-17,               0.0032
         4.07793e-17,               0.0033
         4.24153e-17,               0.0034
         4.40791e-17,               0.0035
         4.57709e-17,               0.0036
         4.74913e-17,               0.0037
         4.92405e-17,               0.0038
         5.10191e-17,               0.0039
         5.28275e-17,                0.004
         5.46661e-17,               0.0041
         5.65353e-17,               0.0042
         5.84356e-17,               0.0043
         6.03674e-17,               0.0044
         6.23312e-17,               0.0045
         6.43275e-17,               0.0046
         6.63567e-17,               0.0047
         6.84192e-17,               0.0048
         7.05156e-17,               0.0049
         7.26464e-17,                0.005
          7.4812e-17,               0.0051
          7.7013e-17,               0.0052
         7.92498e-17,               0.0053
         8.15231e-17,               0.0054
         8.38332e-17,               0.0055
         8.61808e-17,               0.0056
         8.85663e-17,               0.0057
         9.09903e-17,               0.0058
         9.34535e-17,               0.0059
         9.59562e-17,                0.006
         9.84992e-17,               0.0061
         1.01083e-16,               0.0062
         1.03708e-16,               0.0063
         1.06375e-16,               0.0064
         1.09085e-16,               0.0065
         1.11837e-16,               0.0066
         1.14634e-16,               0.0067
         1.17475e-16,               0.0068
         1.20361e-16,               0.0069
         1.23293e-16,                0.007
         1.26271e-16,               0.0071
         1.29296e-16,               0.0072
         1.32369e-16,               0.0073
          1.3549e-16,               0.0074
          1.3866e-16,               0.0075
          1.4188e-16,               0.0076
          1.4515e-16,               0.0077
         1.48472e-16,               0.0078
         1.51846e-16,               0.0079
         1.55272e-16,                0.008
         1.58752e-16,               0.0081
         1.62285e-16,               0.0082
         1.65874e-16,               0.0083
         1.69519e-16,               0.0084
          1.7322e-16,               0.0085
         1.76978e-16,               0.0086
         1.80795e-16,               0.0087
         1.84671e-16,               0.0088
         1.88606e-16,               0.0089
         1.92602e-16,                0.009
          1.9666e-16,               0.0091
          2.0078e-16,               0.0092
         2.04963e-16,               0.0093
         2.09211e-16,               0.0094
         2.13524e-16,               0.0095
         2.17903e-16,               0.0096
         2.22349e-16,               0.0097
         2.26863e-16,               0.0098
         2.31446e-16,               0.0099
         2.36098e-16,                 0.01
         2.40822e-16,               0.0101
         2.45618e-16,               0.0102
         2.50486e-16,               0.0103
         2.55429e-16,               0.0104
         2.60447e-16,               0.0105
          2.6554e-16,               0.0106
         2.70711e-16,               0.0107
         2.75961e-16,               0.0108
         2.81289e-16,               0.0109
         2.86699e-16,                0.011
          2.9219e-16,               0.0111
         2.97764e-16,               0.0112
         3.03422e-16,               0.0113
         3.09165e-16,               0.0114
         3.14994e-16,               0.0115
         3.20912e-16,               0.0116
         3.26918e-16,               0.0117
         3.33015e-16,               0.0118
         3.39203e-16,               0.0119
         3.45484e-16,                0.012
         3.51859e-16,               0.0121
         3.58329e-16,               0.0122
         3.64896e-16,               0.0123
         3.71562e-16,               0.0124
         3.78327e-16,               0.0125
         3.85193e-16,               0.0126
         3.92162e-16,               0.0127
         3.99235e-16,               0.0128
         4.06413e-16,               0.0129
         4.13698e-16,                0.013
         4.21091e-16,               0.0131
         4.28595e-16,               0.0132
          4.3621e-16,               0.0133
         4.43938e-16,               0.0134
         4.51781e-16,               0.0135
          4.5974e-16,               0.0136
         4.67818e-16,               0.0137
         4.76015e-16,               0.0138
         4.84334e-16,               0.0139
         4.92776e-16,                0.014
         5.01343e-16,               0.0141
         5.10037e-16,               0.0142
         5.18859e-16,               0.0143
         5.27812e-16,               0.0144
         5.36897e-16,               0.0145
         5.46117e-16,               0.0146
         5.55472e-16,               0.0147
         5.64966e-16,               0.0148
         5.74599e-16,               0.0149
         5.84375e-16,                0.015
         5.94294e-16,               0.0151
          6.0436e-16,               0.0152
         6.14574e-16,               0.0153
         6.24939e-16,               0.0154
         6.35456e-16,               0.0155
         6.46127e-16,               0.0156
         6.56956e-16,               0.0157
         6.67943e-16,               0.0158
         6.79093e-16,               0.0159
         6.90406e-16,                0.016
         7.01885e-16,               0.0161
         7.13532e-16,               0.0162
         7.25351e-16,               0.0163
         7.37343e-16,               0.0164
          7.4951e-16,               0.0165
         7.61857e-16,               0.0166
         7.74384e-16,               0.0167
         7.87095e-16,               0.0168
         7.99992e-16,               0.0169
         8.13078e-16,                0.017
         8.26355e-16,               0.0171
         8.39827e-16,               0.0172
         8.53496e-16,               0.0173
         8.67365e-16,               0.0174
         8.81437e-16,               0.0175
         8.95715e-16,               0.0176
         9.10202e-16,               0.0177
         9.24901e-16,               0.0178
         9.39814e-16,               0.0179
         9.54946e-16,                0.018
         9.70298e-16,               0.0181
         9.85875e-16,               0.0182
         1.00168e-15,               0.0183
         1.01772e-15,               0.0184
         1.03399e-15,               0.0185
         1.05049e-15,               0.0186
         1.06724e-15,               0.0187
         1.08423e-15,               0.0188
         1.10147e-15,               0.0189
         1.11897e-15,                0.019
         1.13672e-15,               0.0191
         1.15472e-15,               0.0192
         1.17299e-15,               0.0193
         1.19153e-15,               0.0194
         1.21034e-15,               0.0195
         1.22942e-15,               0.0196
         1.24878e-15,               0.0197
         1.26842e-15,               0.0198
         1.28835e-15,               0.0199
         1.30857e-15,                 0.02
         1.32908e-15,               0.0201
          1.3499e-15,               0.0202
         1.37102e-15,               0.0203
         1.39244e-15,               0.0204
         1.41418e-15,               0.0205
         1.43624e-15,               0.0206
         1.45861e-15,               0.0207
         1.48132e-15,               0.0208
         1.50435e-15,               0.0209
         1.52773e-15,                0.021
         1.55144e-15,               0.0211
          1.5755e-15,               0.0212
         1.59991e-15,               0.0213
         1.62467e-15,               0.0214
          1.6498e-15,               0.0215
          1.6753e-15,               0.0216
         1.70116e-15,               0.0217
         1.72741e-15,               0.0218
         1.75404e-15,               0.0219
         1.78105e-15,                0.022
         1.80847e-15,               0.0221
         1.83628e-15,               0.0222
          1.8645e-15,               0.0223
         1.89313e-15,               0.0224
         1.92218e-15,               0.0225
         1.95165e-15,               0.0226
         1.98155e-15,               0.0227
          2.0119e-15,               0.0228
         2.04268e-15,               0.0229
         2.07392e-15,                0.023
         2.10561e-15,               0.0231
         2.13777e-15,               0.0232
         2.17039e-15,               0.0233
          2.2035e-15,               0.0234
         2.23709e-15,               0.0235
         2.27117e-15,               0.0236
         2.30575e-15,               0.0237
         2.34084e-15,               0.0238
         2.37644e-15,               0.0239
         2.41256e-15,                0.024
         2.44922e-15,               0.0241
         2.48641e-15,               0.0242
         2.52414e-15,               0.0243
         2.56243e-15,               0.0244
         2.60129e-15,               0.0245
         2.64071e-15,               0.0246
         2.68071e-15,               0.0247
          2.7213e-15,               0.0248
         2.76248e-15,               0.0249
         2.80427e-15,                0.025
         2.84668e-15,               0.0251
         2.88971e-15,               0.0252
         2.93337e-15,               0.0253
         2.97767e-15,               0.0254
         3.02263e-15,               0.0255
         3.06825e-15,               0.0256
         3.11454e-15,               0.0257
         3.16151e-15,               0.0258
         3.20918e-15,               0.0259
         3.25755e-15,                0.026
         3.30663e-15,               0.0261
         3.35643e-15,               0.0262
         3.40697e-15,               0.0263
         3.45826e-15,               0.0264
         3.51031e-15,               0.0265
         3.56312e-15,               0.0266
         3.61672e-15,               0.0267
         3.67111e-15,               0.0268
          3.7263e-15,               0.0269
         3.78231e-15,                0.027
         3.83915e-15,               0.0271
         3.89684e-15,               0.0272
         3.95538e-15,               0.0273
         4.01478e-15,               0.0274
         4.07507e-15,               0.0275
         4.13625e-15,               0.0276
         4.19834e-15,               0.0277
         4.26136e-15,               0.0278
         4.32531e-15,               0.0279
         4.39021e-15,                0.028
         4.45608e-15,               0.0281
         4.52293e-15,               0.0282
         4.59077e-15,               0.0283
         4.65963e-15,               0.0284
         4.72951e-15,               0.0285
         4.80043e-15,               0.0286
         4.87242e-15,               0.0287
         4.94548e-15,               0.0288
         5.01963e-15,               0.0289
         5.09488e-15,                0.029
         5.17127e-15,               0.0291
         5.24879e-15,               0.0292
         5.32748e-15,               0.0293
         5.40735e-15,               0.0294
         5.48841e-15,               0.0295
         5.57069e-15,               0.0296
         5.65421e-15,               0.0297
         5.73898e-15,               0.0298
         5.82502e-15,               0.0299
         5.91236e-15,                 0.03
         6.00101e-15,               0.0301
           6.091e-15,               0.0302
         6.18234e-15,               0.0303
         6.27506e-15,               0.0304
         6.36917e-15,               0.0305
         6.46471e-15,               0.0306
         6.56169e-15,               0.0307
         6.66013e-15,               0.0308
         6.76007e-15,               0.0309
         6.86151e-15,                0.031
          6.9645e-15,               0.0311
         7.06904e-15,               0.0312
         7.17517e-15,               0.0313
          7.2829e-15,               0.0314
         7.39228e-15,               0.0315
         7.50331e-15,               0.0316
         7.61604e-15,               0.0317
         7.73048e-15,               0.0318
         7.84666e-15,               0.0319
         7.96461e-15,                0.032
         8.08436e-15,               0.0321
         8.20593e-15,               0.0322
         8.32937e-15,               0.0323
         8.45469e-15,               0.0324
         8.58193e-15,               0.0325
         8.71111e-15,               0.0326
         8.84227e-15,               0.0327
         8.97545e-15,               0.0328
         9.11066e-15,               0.0329
         9.24795e-15,                0.033
         9.38736e-15,               0.0331
          9.5289e-15,               0.0332
         9.67263e-15,               0.0333
         9.81856e-15,               0.0334
         9.96675e-15,               0.0335
         1.01172e-14,               0.0336
           1.027e-14,               0.0337
         1.04252e-14,               0.0338
         1.05827e-14,               0.0339
         1.07427e-14,                0.034
         1.09052e-14,               0.0341
         1.10702e-14,               0.0342
         1.12378e-14,               0.0343
         1.14079e-14,               0.0344
         1.15807e-14,               0.0345
         1.17562e-14,               0.0346
         1.19344e-14,               0.0347
         1.21154e-14,               0.0348
         1.22993e-14,               0.0349
          1.2486e-14,                0.035
         1.26756e-14,               0.0351
         1.28682e-14,               0.0352
         1.30638e-14,               0.0353
         1.32624e-14,               0.0354
         1.34642e-14,               0.0355
         1.36692e-14,               0.0356
         1.38774e-14,               0.0357
         1.40888e-14,               0.0358
         1.43036e-14,               0.0359
         1.45218e-14,                0.036
         1.47434e-14,               0.0361
         1.49685e-14,               0.0362
         1.51971e-14,               0.0363
         1.54294e-14,               0.0364
         1.56654e-14,               0.0365
         1.59051e-14,               0.0366
         1.61487e-14,               0.0367
          1.6396e-14,               0.0368
         1.66474e-14,               0.0369
         1.69027e-14,                0.037
         1.71621e-14,               0.0371
         1.74257e-14,               0.0372
         1.76934e-14,               0.0373
         1.79655e-14,               0.0374
         1.82419e-14,               0.0375
         1.85227e-14,               0.0376
          1.8808e-14,               0.0377
          1.9098e-14,               0.0378
         1.93925e-14,               0.0379
         1.96919e-14,                0.038
          1.9996e-14,               0.0381
         2.03051e-14,               0.0382
         2.06192e-14,               0.0383
         2.09383e-14,               0.0384
         2.12626e-14,               0.0385
         2.15922e-14,               0.0386
         2.19271e-14,               0.0387
         2.22675e-14,               0.0388
         2.26134e-14,               0.0389
         2.29649e-14,                0.039
         2.33222e-14,               0.0391
         2.36853e-14,               0.0392
         2.40544e-14,               0.0393
         2.44295e-14,               0.0394
         2.48107e-14,               0.0395
         2.51982e-14,               0.0396
         2.55921e-14,               0.0397
         2.59924e-14,               0.0398
         2.63994e-14,               0.0399
          2.6813e-14,                 0.04
         2.72335e-14,               0.0401
          2.7661e-14,               0.0402
         2.80955e-14,               0.0403
         2.85373e-14,               0.0404
         2.89864e-14,               0.0405
         2.94429e-14,               0.0406
         2.99071e-14,               0.0407
          3.0379e-14,               0.0408
         3.08587e-14,               0.0409
         3.13465e-14,                0.041
         3.18425e-14,               0.0411
         3.23468e-14,               0.0412
         3.28595e-14,               0.0413
         3.33809e-14,               0.0414
          3.3911e-14,               0.0415
         3.44501e-14,               0.0416
         3.49983e-14,               0.0417
         3.55558e-14,               0.0418
         3.61227e-14,               0.0419
         3.66992e-14,                0.042
         3.72855e-14,               0.0421
         3.78818e-14,               0.0422
         3.84882e-14,               0.0423
          3.9105e-14,               0.0424
         3.97324e-14,               0.0425
         4.03704e-14,               0.0426
         4.10194e-14,               0.0427
         4.16796e-14,               0.0428
         4.23511e-14,               0.0429
         4.30341e-14,                0.043
          4.3729e-14,               0.0431
         4.44358e-14,               0.0432
         4.51549e-14,               0.0433
         4.58864e-14,               0.0434
         4.66307e-14,               0.0435
         4.73878e-14,               0.0436
         4.81582e-14,               0.0437
          4.8942e-14,               0.0438
         4.97395e-14,               0.0439
         5.05509e-14,                0.044
         5.13766e-14,               0.0441
         5.22167e-14,               0.0442
         5.30717e-14,               0.0443
         5.39417e-14,               0.0444
         5.48271e-14,               0.0445
         5.57281e-14,               0.0446
         5.66451e-14,               0.0447
         5.75783e-14,               0.0448
         5.85281e-14,               0.0449
         5.94949e-14,                0.045
         6.04789e-14,               0.0451
         6.14804e-14,               0.0452
         6.24999e-14,               0.0453
         6.35377e-14,               0.0454
         6.45941e-14,               0.0455
         6.56696e-14,               0.0456
         6.67644e-14,               0.0457
          6.7879e-14,               0.0458
         6.90138e-14,               0.0459
         7.01691e-14,                0.046
         7.13455e-14,               0.0461
         7.25433e-14,               0.0462
         7.37629e-14,               0.0463
         7.50048e-14,               0.0464
         7.62694e-14,               0.0465
         7.75573e-14,               0.0466
         7.88688e-14,               0.0467
         8.02045e-14,               0.0468
         8.15648e-14,               0.0469
         8.29503e-14,                0.047
         8.43614e-14,               0.0471
         8.57988e-14,               0.0472
         8.72629e-14,               0.0473
         8.87543e-14,               0.0474
         9.02735e-14,               0.0475
         9.18213e-14,               0.0476
          9.3398e-14,               0.0477
         9.50044e-14,               0.0478
         9.66411e-14,               0.0479
         9.83086e-14,                0.048
         1.00008e-13,               0.0481
         1.01739e-13,               0.0482
         1.03503e-13,               0.0483
         1.05301e-13,               0.0484
         1.07133e-13,               0.0485
         1.09001e-13,               0.0486
         1.10904e-13,               0.0487
         1.12843e-13,               0.0488
          1.1482e-13,               0.0489
         1.16836e-13,                0.049
          1.1889e-13,               0.0491
         1.20984e-13,               0.0492
         1.23119e-13,               0.0493
         1.25295e-13,               0.0494
         1.27514e-13,               0.0495
         1.29776e-13,               0.0496
         1.32083e-13,               0.0497
         1.34435e-13,               0.0498
         1.36834e-13,               0.0499
          1.3928e-13,                 0.05
         1.41774e-13,               0.0501
         1.44318e-13,               0.0502
         1.46913e-13,               0.0503
         1.49559e-13,               0.0504
         1.52259e-13,               0.0505
         1.55013e-13,               0.0506
         1.57822e-13,               0.0507
         1.60688e-13,               0.0508
         1.63612e-13,               0.0509
         1.66595e-13,                0.051
         1.69639e-13,               0.0511
         1.72745e-13,               0.0512
         1.75914e-13,               0.0513
         1.79149e-13,               0.0514
          1.8245e-13,               0.0515
         1.85819e-13,               0.0516
