------------------------------------------------------------
 Transmission Peak(TM)
------------------------------------------------------------
Occurrence, Resonance Energy (eV)
                   1,             0.213411
                   2,             0.213419
                   3,             0.213433
                   4,             0.213452
                   5,             0.213476
                   6,             0.213505
                   7,              0.21354
                   8,              0.21358
                   9,             0.213626
                  10,             0.213676
                  11,             0.213732
                  12,             0.213794
                  13,              0.21386
                  14,             0.213931
                  15,             0.214008
                  16,              0.21409
                  17,             0.214176
                  18,             0.214268
                  19,             0.214365
                  20,             0.214466
                  21,             0.214572
                  22,             0.214683
                  23,             0.214799
                  24,             0.214919
                  25,             0.215044
                  26,             0.215173
                  27,             0.215307
                  28,             0.215445
                  29,             0.215587
                  30,             0.215733
                  31,             0.215883
                  32,             0.216038
                  33,             0.216196
                  34,             0.216358
                  35,             0.216523
                  36,             0.216692
                  37,             0.216865
                  38,              0.21704
                  39,             0.217219
                  40,             0.217401
                  41,             0.217585
                  42,             0.217773
                  43,             0.217963
                  44,             0.218156
                  45,             0.218351
                  46,             0.218548
                  47,             0.218747
                  48,             0.218948
                  49,              0.21915
                  50,             0.219354
                  51,              0.21956
                  52,             0.219766
                  53,             0.219973
                  54,             0.220181
                  55,              0.22039
                  56,             0.220599
                  57,             0.220808
                  58,             0.221017
                  59,             0.221226
                  60,             0.221434
                  61,             0.221641
                  62,             0.221847
                  63,             0.222053
                  64,             0.222256
                  65,             0.222458
                  66,             0.222659
                  67,             0.222857
                  68,             0.223052
                  69,             0.223246
                  70,             0.223436
                  71,             0.223623
                  72,             0.223806
                  73,             0.223986
                  74,             0.224162
                  75,             0.224334
                  76,             0.224502
                  77,             0.224665
                  78,             0.224823
                  79,             0.224976
                  80,             0.225123
                  81,             0.225265
                  82,             0.225402
                  83,             0.225532
                  84,             0.225656
                  85,             0.225774
                  86,             0.225885
                  87,             0.225989
                  88,             0.226087
                  89,             0.226177
                  90,              0.22626
                  91,             0.226335
                  92,             0.226403
                  93,             0.226463
                  94,             0.226516
                  95,              0.22656
                  96,             0.226596
                  97,             0.226625
                  98,             0.226645
                  99,             0.226658
                 100,             0.347938
                 101,             0.347978
                 102,             0.348044
                 103,             0.348137
                 104,             0.348256
                 105,               0.3484
                 106,             0.348572
                 107,              0.34877
                 108,             0.348992
                 109,             0.349242
                 110,             0.349516
                 111,             0.349813
                 112,             0.350141
                 113,             0.350492
                 114,             0.350875
                 115,             0.351266
                 116,             0.351688
                 117,             0.352141
                 118,             0.352609
                 119,             0.353125
                 120,             0.353625
                 121,             0.354187
                 122,              0.35475
                 123,             0.355344
                 124,             0.355938
                 125,             0.356563
                 126,              0.35725
                 127,             0.357938
                 128,             0.358625
                 129,             0.359375
                 130,             0.360125
                 131,             0.360875
                 132,             0.361625
                 133,             0.362375
                 134,              0.36325
                 135,                0.364
                 136,                0.365
                 137,              0.36575
                 138,               0.3665
                 139,               0.3675
                 140,               0.3685
                 141,               0.3695
                 142,               0.3705
                 143,               0.3715
                 144,               0.3725
                 145,               0.3735
                 146,               0.3745
                 147,               0.3755
                 148,               0.3765
                 149,               0.3775
                 150,               0.3785
                 151,                 0.38
                 152,                0.381
                 153,                0.382
                 154,                0.383
                 155,              0.38425
                 156,               0.3855
                 157,              0.38675
                 158,                0.388
                 159,                0.389
                 160,              0.39025
                 161,               0.3915
                 162,              0.39275
                 163,                0.394
                 164,             0.395125
                 165,             0.396375
                 166,              0.39775
                 167,             0.398875
                 168,             0.400125
                 169,             0.401375
                 170,             0.402625
                 171,             0.403875
                 172,             0.405188
                 173,             0.406438
                 174,             0.407688
                 175,             0.408938
                 176,             0.410125
                 177,             0.411375
                 178,             0.412563
                 179,             0.413813
                 180,                0.415
                 181,             0.416125
                 182,             0.417281
                 183,             0.418406
                 184,               0.4195
                 185,             0.420531
                 186,             0.421562
                 187,             0.422531
                 188,             0.423453
                 189,             0.424328
                 190,             0.425141
                 191,             0.425891
                 192,              0.42657
                 193,             0.427172
                 194,             0.427691
                 195,             0.428129
                 196,             0.428471
                 197,             0.428719
                 198,             0.428868
                 199,             0.492302
                 200,             0.492487
                 201,             0.492795
                 202,             0.493223
                 203,             0.493766
                 204,             0.494422
                 205,             0.495172
                 206,             0.496031
                 207,                0.497
                 208,             0.498031
                 209,             0.499156
                 210,             0.500375
                 211,             0.501625
                 212,                0.503
                 213,             0.504375
                 214,             0.505875
                 215,             0.507375
                 216,             0.508938
                 217,               0.5105
                 218,              0.51225
                 219,             0.513875
                 220,             0.515625
                 221,             0.517375
                 222,              0.51925
                 223,                0.521
                 224,                0.523
                 225,              0.52475
                 226,              0.52675
                 227,              0.52875
                 228,               0.5305
                 229,               0.5325
                 230,               0.5345
                 231,                0.537
                 232,                0.539
                 233,                0.541
                 234,                0.543
                 235,                0.545
                 236,               0.5475
                 237,               0.5495
                 238,               0.5515
                 239,                0.554
                 240,                0.556
                 241,                0.558
                 242,               0.5605
                 243,               0.5625
                 244,                0.565
                 245,               0.5675
                 246,               0.5695
                 247,                0.572
                 248,                0.574
                 249,               0.5765
                 250,                0.579
                 251,               0.5815
                 252,               0.5835
                 253,                0.586
                 254,               0.5885
                 255,                0.591
                 256,               0.5935
                 257,               0.5955
                 258,                0.598
                 259,               0.6005
                 260,                0.603
                 261,               0.6055
                 262,                0.608
                 263,               0.6105
                 264,                0.613
                 265,               0.6155
                 266,                0.618
                 267,               0.6205
                 268,                0.623
                 269,               0.6255
                 270,                0.628
                 271,               0.6305
                 272,                0.633
                 273,                0.636
                 274,               0.6385
                 275,                0.641
                 276,               0.6435
                 277,                0.646
                 278,               0.6485
                 279,                0.651
                 280,               0.6535
                 281,                0.656
                 282,               0.6585
                 283,                0.661
                 284,             0.663375
                 285,             0.665875
                 286,              0.66825
                 287,               0.6705
                 288,              0.67275
                 289,             0.674875
                 290,             0.676937
                 291,             0.678875
                 292,             0.680688
                 293,             0.682281
                 294,             0.683688
                 295,             0.684828
                 296,             0.685688
                 297,             0.686209
                 298,             0.734572
                 299,             0.735133
                 300,             0.736031
                 301,              0.73725
                 302,              0.73875
                 303,               0.7405
                 304,             0.742437
                 305,               0.7445
                 306,              0.74675
                 307,             0.749125
                 308,             0.751625
                 309,             0.754125
                 310,              0.75675
                 311,               0.7595
                 312,              0.76225
                 313,                0.765
                 314,              0.76775
                 315,                0.771
                 316,              0.77375
                 317,              0.77675
                 318,               0.7795
                 319,               0.7825
                 320,               0.7855
                 321,               0.7885
                 322,                0.792
