------------------------------------------------------------
 Transmission Peak(TM)
------------------------------------------------------------
Occurrence, Resonance Energy (eV)
                   1,             0.213411
                   2,             0.213419
                   3,             0.213433
                   4,             0.213452
                   5,             0.213476
                   6,             0.213505
                   7,              0.21354
                   8,              0.21358
                   9,             0.213626
                  10,             0.213676
                  11,             0.213732
                  12,             0.213794
                  13,              0.21386
                  14,             0.213931
                  15,             0.214008
                  16,              0.21409
                  17,             0.214176
                  18,             0.214268
                  19,             0.214364
                  20,             0.214466
                  21,             0.214572
                  22,             0.214683
                  23,             0.214799
                  24,             0.214919
                  25,             0.215044
                  26,             0.215173
                  27,             0.215307
                  28,             0.215445
                  29,             0.215587
                  30,             0.215733
                  31,             0.215883
                  32,             0.216038
                  33,             0.216196
                  34,             0.216358
                  35,             0.216523
                  36,             0.216692
                  37,             0.216864
                  38,              0.21704
                  39,             0.217219
                  40,             0.217401
                  41,             0.217586
                  42,             0.217773
                  43,             0.217963
                  44,             0.218156
                  45,             0.218351
                  46,             0.218548
                  47,             0.218747
                  48,             0.218948
                  49,              0.21915
                  50,             0.219354
                  51,             0.219559
                  52,             0.219766
                  53,             0.219973
                  54,             0.220181
                  55,              0.22039
                  56,             0.220599
                  57,             0.220808
                  58,             0.221017
                  59,             0.221225
                  60,             0.221434
                  61,             0.221641
                  62,             0.221847
                  63,             0.222053
                  64,             0.222256
                  65,             0.222459
                  66,             0.222659
                  67,             0.222857
                  68,             0.223052
                  69,             0.223245
                  70,             0.223436
                  71,             0.223623
                  72,             0.223806
                  73,             0.223986
                  74,             0.224162
                  75,             0.224334
                  76,             0.224502
                  77,             0.224665
                  78,             0.224823
                  79,             0.224976
                  80,             0.225123
                  81,             0.225265
                  82,             0.225402
                  83,             0.225532
                  84,             0.225656
                  85,             0.225774
                  86,             0.225885
                  87,             0.225989
                  88,             0.226087
                  89,             0.226177
                  90,              0.22626
                  91,             0.226335
                  92,             0.226403
                  93,             0.226463
                  94,             0.226516
                  95,              0.22656
                  96,             0.226596
                  97,             0.226625
                  98,             0.226645
                  99,             0.226658
                 100,             0.347938
                 101,             0.347978
                 102,             0.348044
                 103,             0.348137
                 104,             0.348256
                 105,               0.3484
                 106,             0.348572
                 107,             0.348769
                 108,             0.348994
                 109,             0.349244
                 110,             0.349519
                 111,             0.349819
                 112,             0.350144
                 113,             0.350488
                 114,             0.350862
                 115,             0.351263
                 116,             0.351688
                 117,             0.352137
                 118,             0.352625
                 119,             0.353125
                 120,             0.353625
                 121,             0.354175
                 122,              0.35475
                 123,              0.35535
                 124,              0.35595
                 125,               0.3566
                 126,              0.35725
                 127,               0.3579
                 128,               0.3586
                 129,              0.35935
                 130,               0.3601
                 131,              0.36085
                 132,               0.3616
                 133,               0.3624
                 134,              0.36325
                 135,               0.3641
                 136,              0.36495
                 137,               0.3658
                 138,               0.3667
                 139,               0.3676
                 140,              0.36855
                 141,               0.3695
                 142,              0.37045
                 143,              0.37145
                 144,              0.37245
                 145,               0.3727
                 146,              0.37345
                 147,               0.3745
                 148,              0.37555
                 149,               0.3766
                 150,              0.37765
                 151,              0.37875
                 152,              0.37985
                 153,              0.38095
                 154,               0.3821
                 155,               0.3832
                 156,              0.38435
                 157,              0.38555
                 158,               0.3867
                 159,               0.3879
                 160,              0.38905
                 161,               0.3903
                 162,               0.3915
                 163,               0.3927
                 164,              0.39395
                 165,              0.39515
                 166,               0.3964
                 167,              0.39765
                 168,               0.3989

