------------------------------------------------------------
 Transmission Peak(TM)
------------------------------------------------------------
Occurrence, Resonance Energy (eV)
                   1,            0.0617651
                   2,             0.061972
                   3,            0.0623157
                   4,            0.0627954
                   5,            0.0634082
                   6,            0.0641504
                   7,            0.0650195
                   8,            0.0660254
                   9,            0.0671387
                  10,            0.0683691
                  11,             0.069707
                  12,            0.0711523
                  13,            0.0726953
                  14,            0.0743164
                  15,            0.0759961
                  16,            0.0777539
                  17,            0.0795312
                  18,            0.0813672
                  19,            0.0831836
                  20,                0.085
                  21,            0.0867773
                  22,            0.0884766
                  23,            0.0900781
                  24,            0.0915723
                  25,            0.0929004
                  26,            0.0940381
                  27,            0.0949609
                  28,            0.0956409
                  29,            0.0960571
                  30,             0.240325
                  31,              0.24126
                  32,             0.242812
                  33,             0.244941
                  34,             0.247617
                  35,             0.250859
                  36,             0.254609
                  37,              0.25875
                  38,             0.263281
                  39,             0.268281
                  40,              0.27375
                  41,             0.279375
                  42,             0.285313
                  43,             0.291563
                  44,             0.298125
                  45,             0.304844
                  46,             0.311563
                  47,              0.31875
                  48,             0.325625
                  49,             0.332813
                  50,             0.339844
                  51,             0.346875
                  52,              0.35375
                  53,             0.360156
                  54,             0.366172
                  55,             0.371641
                  56,             0.376172
                  57,             0.379648
                  58,             0.381855
                  59,             0.529951
                  60,             0.532812
                  61,             0.537344
                  62,             0.543438
                  63,             0.550625
                  64,             0.559063
                  65,             0.568438
                  66,              0.57875
                  67,             0.589375
                  68,             0.600625
                  69,             0.611875
                  70,              0.62375
                  71,              0.63625
                  72,                 0.65
                  73,               0.6625
                  74,                0.675
                  75,                 0.69
                  76,               0.7025
                  77,               0.7175
                  78,               0.7325
                  79,              0.74625
                  80,              0.76125
                  81,                0.775
                  82,                 0.79
                  83,             0.804375
                  84,             0.818125
                  85,             0.830938
                  86,             0.842031
                  87,                 0.85
                  88,             0.948438
                  89,             0.957188
                  90,             0.969375
                  91,              0.98375

