------------------------------------------------------------
 Transmission Peak(TM)
------------------------------------------------------------
Occurrence, Resonance Energy (eV)
                   1,                0.795
                   2,             0.861765
                   3,             0.861972
                   4,             0.862316
                   5,             0.862795
                   6,             0.863408
                   7,              0.86415
                   8,              0.86502
                   9,             0.866025
                  10,             0.867139
                  11,             0.868369
                  12,             0.869707
                  13,             0.871152
                  14,             0.872695
                  15,             0.874316
                  16,             0.875996
                  17,             0.877754
                  18,             0.879531
                  19,             0.881367
                  20,             0.883184
                  21,                0.885
                  22,             0.886777
                  23,             0.888477
                  24,             0.890078
                  25,             0.891572
                  26,               0.8929
                  27,             0.894038
                  28,             0.894961
                  29,             0.895641
                  30,             0.896057
                  31,              1.04032
                  32,              1.04126
                  33,              1.04281
                  34,              1.04494
                  35,              1.04762
                  36,              1.05086
                  37,              1.05461
                  38,              1.05875
                  39,              1.06328
                  40,              1.06828
                  41,              1.07375
                  42,              1.07937
                  43,              1.08531
                  44,              1.09156
                  45,              1.09813
                  46,              1.10484
                  47,              1.11156
                  48,              1.11875
                  49,              1.12562
                  50,              1.13281
                  51,              1.13984
                  52,              1.14688
                  53,              1.15375
                  54,              1.16016
                  55,              1.16617
                  56,              1.17164
                  57,              1.17617
                  58,              1.17965
                  59,              1.18186

