------------------------------------------------------------
 Transmission Peak(TM)
------------------------------------------------------------
Occurrence, Resonance Energy (eV)
                   1,             0.213452
                   2,              0.21358
                   3,             0.213793
                   4,              0.21409
                   5,             0.214466
                   6,             0.214919
                   7,             0.215444
                   8,             0.216038
                   9,             0.216692
                  10,             0.217401
                  11,             0.218156
                  12,             0.218948
                  13,             0.219766
                  14,             0.220598
                  15,             0.221433
                  16,             0.222256
                  17,             0.223053
                  18,             0.223806
                  19,             0.224502
                  20,             0.225123
                  21,             0.225656
                  22,             0.226087
                  23,             0.226403
                  24,             0.226596
                  25,             0.348137
                  26,              0.34877
                  27,             0.349824
                  28,              0.35125
                  29,             0.353125
                  30,             0.355313
                  31,             0.357813
                  32,             0.360937
                  33,              0.36375
                  34,               0.3675
                  35,                 0.38

