------------------------------------------------------------
 Transmission Peak(TM)
------------------------------------------------------------
Occurrence, Resonance Energy (eV)
                   1,             0.213411
                   2,             0.213419
                   3,             0.213433
                   4,             0.213452
                   5,             0.213476
                   6,             0.213505
                   7,              0.21354
                   8,              0.21358
                   9,             0.213626
                  10,             0.213676
                  11,             0.213732
                  12,             0.213794
                  13,              0.21386
                  14,             0.213931
                  15,             0.214008
                  16,              0.21409
                  17,             0.214176
                  18,             0.214268
                  19,             0.214364
                  20,             0.214466
                  21,             0.214572
                  22,             0.214683
                  23,             0.214799
                  24,             0.214919
                  25,             0.215044
                  26,             0.215173
                  27,             0.215307
                  28,             0.215445
                  29,             0.215587
                  30,             0.215733
                  31,             0.215883
                  32,             0.216038
                  33,             0.216196
                  34,             0.216358
                  35,             0.216523
                  36,             0.216692
                  37,             0.216864
                  38,              0.21704
                  39,             0.217219
                  40,             0.217401
                  41,             0.217586
                  42,             0.217773
                  43,             0.217963
                  44,             0.218156
                  45,             0.218351
                  46,             0.218548
                  47,             0.218747
                  48,             0.218948
                  49,              0.21915
                  50,             0.219354
                  51,             0.219559
                  52,             0.219766
                  53,             0.219973
                  54,             0.220181
                  55,              0.22039
                  56,             0.220599
                  57,             0.220808
                  58,             0.221017
                  59,             0.221225
                  60,             0.221434
                  61,             0.221641
                  62,             0.221847
                  63,             0.222053
                  64,             0.222256
                  65,             0.222459
                  66,             0.222659
                  67,             0.222857
                  68,             0.223052
                  69,             0.223245
                  70,             0.223436
                  71,             0.223623
                  72,             0.223806
                  73,             0.223986
                  74,             0.224162
                  75,             0.224334
                  76,             0.224502
                  77,             0.224665
                  78,             0.224823
                  79,             0.224976
                  80,             0.225123
                  81,             0.225265
                  82,             0.225402
                  83,             0.225532
                  84,             0.225656
                  85,             0.225774
                  86,             0.225885
                  87,             0.225989
                  88,             0.226087
                  89,             0.226177
                  90,              0.22626
                  91,             0.226335
                  92,             0.226403
                  93,             0.226463
                  94,             0.226516
                  95,              0.22656
                  96,             0.226596
                  97,             0.226625
                  98,             0.226645
                  99,             0.226658
                 100,             0.347938
                 101,             0.347978
                 102,             0.348044
                 103,             0.348137
                 104,             0.348256
                 105,               0.3484
                 106,             0.348572
                 107,             0.348769
                 108,             0.348994
                 109,             0.349244
                 110,             0.349519
                 111,             0.349819
                 112,             0.350144
                 113,             0.350488
                 114,             0.350862
                 115,             0.351263
                 116,             0.351688
                 117,             0.352137
                 118,             0.352625
                 119,             0.353125
                 120,             0.353625
                 121,             0.354175
                 122,              0.35475
                 123,              0.35535
                 124,              0.35595
                 125,               0.3566
                 126,              0.35725
                 127,               0.3579
                 128,               0.3586
                 129,              0.35935
                 130,               0.3601
                 131,              0.36085
                 132,               0.3616
                 133,               0.3624
                 134,              0.36325
                 135,               0.3641
                 136,              0.36495
                 137,               0.3658
                 138,               0.3667
                 139,               0.3676
                 140,              0.36855
                 141,               0.3695
                 142,              0.37045
                 143,              0.37145
                 144,              0.37245
                 145,               0.3727
                 146,              0.37345
                 147,               0.3745
                 148,              0.37555
                 149,               0.3766
                 150,              0.37765
                 151,              0.37875
                 152,              0.37985
                 153,              0.38095
                 154,               0.3821
                 155,               0.3832
                 156,              0.38435
                 157,              0.38555
                 158,               0.3867
                 159,               0.3879
                 160,              0.38905
                 161,               0.3903
                 162,               0.3915
                 163,               0.3927
                 164,              0.39395
                 165,              0.39515
                 166,               0.3964
                 167,              0.39765
                 168,               0.3989
                 169,              0.40015
                 170,               0.4014
                 171,              0.40265
                 172,               0.4039
                 173,              0.40515
                 174,               0.4064
                 175,              0.40765
                 176,               0.4089
                 177,              0.41015
                 178,              0.41135
                 179,               0.4126
                 180,               0.4138
                 181,              0.41495
                 182,              0.41615
                 183,               0.4173
                 184,               0.4184
                 185,             0.419475
                 186,              0.42055
                 187,              0.42155
                 188,             0.422525
                 189,              0.42345
                 190,             0.424325
                 191,             0.425138
                 192,             0.425887
                 193,             0.426569
                 194,             0.427175
                 195,             0.427694
                 196,             0.428128
                 197,              0.42847
                 198,             0.428719
                 199,             0.428869
                 200,             0.492302
                 201,             0.492487
                 202,             0.492797
                 203,             0.493225
                 204,             0.493769
                 205,             0.494425
                 206,             0.495175
                 207,              0.49605
                 208,                0.497
                 209,             0.498025
                 210,              0.49915
                 211,              0.50035
                 212,              0.50165
                 213,                0.503
                 214,               0.5044
                 215,              0.50585
                 216,              0.50735
                 217,              0.50895
                 218,              0.51055
                 219,               0.5122
                 220,               0.5139
                 221,              0.51565
                 222,               0.5174
                 223,               0.5192
                 224,              0.52105
                 225,              0.52295
                 226,              0.52485
                 227,              0.52675
                 228,               0.5287
                 229,               0.5307
                 230,               0.5327
                 231,               0.5347
                 232,              0.53675
                 233,               0.5388
                 234,               0.5409
                 235,                0.543
                 236,              0.54515
                 237,               0.5473
                 238,              0.54945
                 239,               0.5516
                 240,               0.5538
                 241,                0.556
                 242,              0.55825
                 243,               0.5605
                 244,              0.56275
                 245,                0.565
                 246,               0.5673
                 247,               0.5696
                 248,               0.5719
                 249,              0.57425
                 250,               0.5766
                 251,              0.57895
                 252,               0.5813
                 253,              0.58365
                 254,              0.58605
                 255,              0.58845
                 256,               0.5909
                 257,               0.5933
                 258,               0.5957
                 259,              0.59815
                 260,               0.6006
                 261,               0.6031
                 262,              0.60555
                 263,              0.60805
                 264,               0.6105
                 265,                0.613
                 266,              0.61555
                 267,              0.61805
                 268,              0.62055
                 269,               0.6231
                 270,               0.6256
                 271,              0.62815
                 272,               0.6307
                 273,              0.63325
                 274,               0.6358
                 275,              0.63835
                 276,               0.6409
                 277,               0.6434
                 278,              0.64595
                 279,               0.6485
                 280,              0.65105
                 281,              0.65355
                 282,              0.65605
                 283,              0.65855
                 284,                0.661
                 285,              0.66345
                 286,              0.66585
                 287,               0.6682
                 288,               0.6705
                 289,              0.67275
                 290,               0.6749
                 291,              0.67695
                 292,               0.6789
                 293,               0.6807
                 294,               0.6823
                 295,               0.6837
                 296,             0.684837
                 297,             0.685681
                 298,             0.686209
                 299,             0.734572
                 300,             0.735131
                 301,             0.736037
                 302,              0.73725
                 303,              0.73875
                 304,               0.7405
                 305,               0.7424
                 306,               0.7445
                 307,              0.74675
                 308,               0.7491
                 309,               0.7516
                 310,              0.75415
                 311,               0.7568
                 312,              0.75945
                 313,              0.76225
                 314,              0.76505
                 315,              0.76785
                 316,              0.77075
                 317,               0.7737
                 318,              0.77665
