------------------------------------------------------------
 Transmission Peak(TM)
------------------------------------------------------------
Occurrence, Resonance Energy (eV)
                   1,             0.213438
                   2,             0.213528
                   3,             0.213676
                   4,             0.213883
                   5,             0.214147
                   6,             0.214466
                   7,             0.214838
                   8,             0.215262
                   9,             0.215733
                  10,             0.216249
                  11,             0.216807
                  12,             0.217401
                  13,             0.218027
                  14,              0.21868
                  15,             0.219354
                  16,             0.220043
                  17,             0.220739
                  18,             0.221433
                  19,              0.22212
                  20,             0.222791
                  21,             0.223435
                  22,             0.224045
                  23,             0.224611
                  24,             0.225123
                  25,             0.225574
                  26,             0.225955
                  27,              0.22626
                  28,             0.226481
                  29,             0.226616
                  30,             0.348073
                  31,             0.348511
                  32,             0.349238
                  33,             0.350273
                  34,             0.351563
                  35,             0.353125
                  36,                0.355
                  37,             0.357031
                  38,             0.359375
                  39,               0.3625
                  40,               0.3675
                  41,               0.3725
                  42,                0.385

