------------------------------------------------------------
 Transmission Peak(TM)
------------------------------------------------------------
Occurrence, Resonance Energy (eV)
                   1,                 0.22
                   2,                0.375
                   3,                0.385
                   4,                0.395
                   5,                0.415
                   6,                0.505
                   7,                 0.52
                   8,                0.545
                   9,                0.555
                  10,                0.565
                  11,                 0.59
                  12,                 0.65
                  13,                0.675
                  14,                0.765
                  15,                0.775
                  16,                0.795
                  17,                 0.84
                  18,                0.895
                  19,                 0.92
                  20,                 0.94
                  21,                0.955
                  22,                0.975
                  23,                 0.99
                  24,                1.005
                  25,                 1.02
                  26,                1.085
                  27,                1.105
                  28,                1.115
                  29,                1.125
                  30,                1.135
                  31,                 1.15
                  32,                 1.16
                  33,                1.175
                  34,                 1.19
                  35,                1.205
                  36,                1.225
                  37,                 1.24
                  38,                 1.26
                  39,                1.285

