------------------------------------------------------------
 Transmission Peak(TM)
------------------------------------------------------------
Occurrence, Resonance Energy (eV)
                   1,             0.213676
                   2,             0.214465
                   3,             0.215732
                   4,             0.217402
                   5,             0.219355
                   6,             0.221436
                   7,             0.223438
                   8,             0.225125
                   9,              0.22626
                  10,             0.349258
                  11,             0.353125
                  12,                 0.36
                  13,               0.3675
                  14,               0.3725
                  15,               0.3775
                  16,                 0.39
                  17,              0.40125
                  18,              0.41375
                  19,             0.424375
                  20,             0.498125
                  21,               0.5125
                  22,                 0.53
                  23,                 0.55
                  24,                0.575
                  25,                 0.59
                  26,                0.625
                  27,                 0.65
                  28,               0.6725
                  29,             0.749375
                  30,                0.775
                  31,                 0.81
                  32,                 0.84
                  33,                0.875
                  34,                 0.91
                  35,                0.945
                  36,                0.955
                  37,                 0.98
                  38,                 1.02
                  39,                1.105
                  40,                1.145
                  41,                 1.19
                  42,                 1.23
                  43,                1.275

