------------------------------------------------------------
 Transmission Peak(TM)
------------------------------------------------------------
Occurrence, Resonance Energy (eV)
                   1,             0.215044
                   2,             0.215173
                   3,             0.215307
                   4,             0.215445
                   5,             0.215587
                   6,             0.215733
                   7,             0.215883
                   8,             0.216038
                   9,             0.216196
                  10,             0.216358
                  11,             0.216523
                  12,             0.216692
                  13,             0.216865
                  14,              0.21704
                  15,             0.217219
                  16,             0.217401
                  17,             0.217586
                  18,             0.217773
                  19,             0.217963
                  20,             0.218156
                  21,             0.218351
                  22,             0.218548
                  23,             0.218747
                  24,             0.218948
                  25,              0.21915
                  26,             0.219354
                  27,             0.219559
                  28,             0.219766
                  29,             0.219973
                  30,             0.220181
                  31,              0.22039
                  32,             0.220599
                  33,             0.220807
                  34,             0.221017
                  35,             0.221226
                  36,             0.221434
                  37,             0.221641
                  38,             0.221848
                  39,             0.222053
                  40,             0.222256
                  41,             0.222458
                  42,             0.222659
                  43,             0.222857
                  44,             0.223052
                  45,             0.223245
                  46,             0.223435
                  47,             0.223622
                  48,             0.223806
                  49,             0.223986
                  50,             0.224162
                  51,             0.224334
                  52,             0.224502
                  53,             0.224665
                  54,             0.224823
                  55,             0.224976
                  56,             0.225123
                  57,             0.225266
                  58,             0.225402
                  59,             0.225532
                  60,             0.225656
                  61,             0.225774
                  62,             0.225885
                  63,             0.225989
                  64,             0.226087
                  65,             0.226177
                  66,              0.22626
                  67,             0.226335
                  68,             0.226403
                  69,             0.226463
                  70,             0.226516
                  71,              0.22656
                  72,             0.226596
                  73,             0.226625
                  74,             0.226645
                  75,             0.226658
                  76,             0.347938
                  77,             0.347978
                  78,             0.348044
                  79,             0.348137
                  80,             0.348256
                  81,             0.348401
                  82,             0.348572
                  83,              0.34877
                  84,             0.348994
                  85,             0.349243
                  86,             0.349517
                  87,             0.349814
                  88,             0.350146
                  89,             0.350488
                  90,             0.350869
                  91,              0.35127
                  92,             0.351699
                  93,             0.352148
                  94,             0.352617
                  95,             0.353105
                  96,             0.353633
                  97,              0.35418
                  98,             0.354727
                  99,             0.355352
                 100,             0.355938
                 101,             0.356563
                 102,             0.357227
                 103,             0.357891
                 104,             0.358594
                 105,             0.359297
                 106,                 0.36
                 107,             0.360859
                 108,             0.361562
                 109,             0.362344
                 110,             0.363125
                 111,             0.364063
                 112,                0.365
                 113,             0.365625
                 114,               0.3675
                 115,               0.3725
                 116,             0.395313
                 117,             0.396406
                 118,             0.397656
                 119,             0.398906
                 120,             0.400156
                 121,             0.401406
                 122,             0.402656
                 123,             0.403906
                 124,             0.405156
                 125,             0.406406
                 126,             0.407656
                 127,             0.408906
                 128,             0.410156
                 129,             0.411406
                 130,             0.412578
                 131,             0.413789
                 132,             0.414961
                 133,             0.416133
                 134,             0.417266
                 135,             0.418398
                 136,             0.419492
                 137,             0.420547
                 138,             0.421563
                 139,             0.422539
                 140,             0.423457
                 141,             0.424336
                 142,             0.425146
                 143,             0.425889
                 144,             0.426572
                 145,             0.427173
                 146,             0.427695
                 147,             0.428127
                 148,              0.42847
                 149,             0.428719
                 150,             0.428869
                 151,             0.492302
                 152,             0.492488
                 153,             0.492795
                 154,             0.493223
                 155,              0.49377
                 156,             0.494424
                 157,             0.495176
                 158,             0.496035
                 159,             0.496992
                 160,             0.498027
                 161,              0.49918
                 162,             0.500352
                 163,             0.501641
                 164,             0.502969
                 165,             0.504375
                 166,             0.505859
                 167,             0.507344
